ticker,training_time,epochs_trained,stopped_early
ABSA,85.69928288459778,18,True
AMAC,35.144206285476685,7,True
BAT,51.41829252243042,11,True
BKG,26.29856562614441,10,True
BOC,99.7038164138794,20,True
BRIT,30.67530608177185,6,True
CARB,81.35521507263184,18,True
CGEN,56.52920174598694,13,True
CIC,66.37050604820251,13,True
COOP,36.608649492263794,7,True
CRWN,37.29752540588379,8,True
CTUM,52.13905096054077,11,True
DTK,34.516151666641235,6,True
EABL,54.85795497894287,11,True
EGAD,33.50121092796326,8,True
EQTY,33.81572866439819,6,True
EVRD,67.89593839645386,13,True
FTGH,87.7118227481842,19,True
HAFR,43.084145307540894,8,True
HFCK,36.623448848724365,11,True
IMH,31.136720418930054,15,True
KAPC,26.63082790374756,12,True
KCB,22.806161403656006,9,True
KEGN,31.936610460281372,13,True
KNRE,19.580912351608276,7,True
KPLC,20.64458417892456,7,True
KQ,19.672184944152832,7,True
KUKZ,16.64296007156372,7,True
LBTY,16.82163953781128,6,True
LIMT,47.37824583053589,25,True
LKL,20.968759775161743,8,True
NBV,49.17003798484802,25,True
NCBA,20.426080226898193,7,True
NMG,36.11727738380432,14,True
NSE,28.404550075531006,11,True
OCH,19.322696208953857,7,True
PORT,36.86537766456604,15,True
SASN,28.503650665283203,11,True
SBIC,17.23902463912964,6,True
SCAN,36.55921006202698,14,True
SCBK,31.07839059829712,12,True
SCOM,37.561452865600586,15,True
SGL,47.76919388771057,20,True
SLAM,21.903653621673584,8,True
SMER,25.937578678131104,10,True
TOTL,28.83704948425293,11,True
TPSE,28.245639085769653,11,True
UCHM,34.07709002494812,14,True
UMME,37.98818039894104,16,True
UNGA,27.35159206390381,11,True
WTK,16.268596410751343,6,True
XPRS,18.859290838241577,9,True
